source,target,ligand,receptor,ligand_expression,receptor_expression,communication_score,attn_score,p_value,pathway_name,annotation,evidence
Microglia/Macrophages,OPC-like-tumor,SLURP2,CHRNA5,0.025988446548581123,0.5050534605979919,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP2,CHRNA6,0.025988446548581123,0.15013405680656433,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP2,CHRNA9,0.025988446548581123,0.02510862983763218,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP2,CHRNA10,0.025988446548581123,0.11237505078315735,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP2,CHRND,0.025988446548581123,0.03389926627278328,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,SLURP2,CHRNE,0.025988446548581123,0.10545572638511658,0.7447300553321838,0.04913861124189037,0.0,SLURP,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,BTLA,TNFRSF14,0.3629119098186493,0.057427674531936646,0.7447300553321838,0.04913861124189037,0.0,BTLA,Secreted Signaling,PMID: 21941365
Microglia/Macrophages,OPC-like-tumor,UCN,CRHR1,0.40742695331573486,0.0,0.7447300553321838,0.04913861124189037,0.0,UCN,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,UCN2,CRHR1,0.004877058789134026,0.0,0.7447300553321838,0.04913861124189037,0.0,UCN,Secreted Signaling,KEGG: hsa04080
Microglia/Macrophages,OPC-like-tumor,BAG6,NCR3,0.004420087672770023,0.2469417303800583,0.7447300553321838,0.04913861124189037,0.0,BAG,Secreted Signaling,PMID: 30021652
Microglia/Macrophages,OPC-like-tumor,LGALS9,HAVCR2,0.31109926104545593,0.07052673399448395,0.7447300553321838,0.04913861124189037,0.0,GALECTIN,Secreted Signaling,PMID: 27192565
Microglia/Macrophages,OPC-like-tumor,LGALS9,CD44,0.31109926104545593,0.1427144855260849,0.7447300553321838,0.04913861124189037,0.0,GALECTIN,Secreted Signaling,PMID: 25065622
OPC-like-tumor,Microglia/Macrophages,GDF15,TGFBR2,0.01752765104174614,1.5070722103118896,0.7442232966423035,0.04877022012831673,0.0,GDF,Secreted Signaling,KEGG: hsa04350
